word,block,id,cond,order,word_duration,vot_duration,mem_1,mem_2
politic,b,7,g2,79,643.939849,74.188026,3.875,2.504126581
pall,a,8,g2,0,433.490818,66.187356,4,2.579662663
policy,a,8,g2,4,570.229533,80.006695,4,2.579662663
Paris,a,8,g2,7,600.223913,100.372035,4,2.579662663
purchase,a,8,g2,8,612.262974,63.278022,4,2.579662663
pebble,a,8,g2,9,377.486132,78.552027,4,2.579662663
peal,a,8,g2,14,376.031465,88.734698,4,2.579662663
panther,a,8,g2,16,548.409525,93.098699,4,2.579662663
personal,a,8,g2,17,566.592865,90.189365,4,2.579662663
possibly,a,8,g2,18,591.322207,70.551358,4,2.579662663
payment,a,8,g2,21,516.982274,72.733359,4,2.579662663
porcelain,a,8,g2,23,539.681522,69.824024,4,2.579662663
paw,a,8,g2,25,458.22016,93.098699,4,2.579662663
piping,a,8,g2,28,581.86687,78.552027,4,2.579662663
pave,a,8,g2,29,577.502869,91.644032,4,2.579662663
party,a,8,g2,30,467.953642,101.826702,4,2.579662663
park,a,8,g2,32,422.217148,80.370361,4,2.579662663
public,a,8,g2,38,341.846786,82.916029,4,2.579662663
