"","word","block","id","cond","order","word_duration","vot","KF","vot_per","word_id"
"758","pair","b","12","g1",10,463.450013,105.366966,58,22.7353464331438,"pair12"
"818","pair","a","13","g1",54,544.045523,109.100038,58,20.0534759294398,"pair13"
"837","pair","b","13","g1",10,522.225516,119.282708,58,22.8412255520659,"pair13"
"897","pair","a","14","g1",54,345.739588,69.147918,58,20.000000115694,"pair14"
"916","pair","b","14","g1",10,417.489478,81.461362,58,19.5121952271094,"pair14"
"976","pair","a","15","g1",54,424.035477,59.641354,58,14.0651802113246,"pair15"
"995","pair","b","15","g1",10,458.266934,76.377822,58,16.6666665939289,"pair15"
"1056","pair","a","16","g1",54,391.30547,81.461362,58,20.817843921272,"pair16"
"1075","pair","b","16","g1",10,413.85281,88.734697,58,21.4411246839184,"pair16"
"1136","pair","a","17","g1",54,476.767166,77.461027,58,16.2471395943403,"pair17"
"1155","pair","b","17","g1",10,519.316181,50.186018,58,9.6638656441171,"pair17"
"1216","pair","a","18","g1",54,379.259004,70.88093,58,18.6893202936324,"pair18"
"1235","pair","b","18","g1",10,357.183452,62.550688,58,17.5122021050404,"pair18"
"1296","pair","a","19","g1",54,440.764154,56.73202,58,12.8712871691467,"pair19"
"1315","pair","b","19","g1",10,451.674158,72.006025,58,15.9420289437945,"pair19"
"1376","pair","a","20","g1",54,395.126122,111.952401,58,28.3333332742805,"pair20"
"1395","pair","b","20","g1",10,588.298892,122.928127,58,20.8955224413375,"pair20"
"1456","pair","a","21","g2",54,397.851473,79.279361,58,19.9268738160484,"pair21"
"1475","pair","b","21","g2",10,408.034141,66.91469,58,16.3992870390716,"pair21"
"1536","pair","a","22","g2",54,380.395466,50.186018,58,13.1931167654874,"pair22"
"1555","pair","b","22","g2",10,491.677506,67.642024,58,13.7573964996479,"pair22"
"1616","pair","a","23","g2",54,353.418364,54.878628,58,15.5279503246187,"pair23"
"1635","pair","b","23","g2",10,388.540684,82.317942,58,21.1864408001094,"pair23"
"1696","pair","a","24","g2",54,509.273667,73.537361,58,14.4396550941245,"pair24"
"1715","pair","b","24","g2",10,485.030602,94.850429,58,19.5555555894595,"pair24"
"1774","pair","a","25","g2",54,419.272718,114.147546,58,27.2251308276156,"pair25"
"1791","pair","b","25","g2",10,413.784855,97.683958,58,23.6074271012166,"pair25"
"1852","pair","a","26","g2",54,448.907173,127.318416,58,28.3618582321027,"pair26"
"1871","pair","b","26","g2",10,447.809602,94.39124,58,21.0784314535533,"pair26"
"1932","pair","a","27","g2",54,427.285054,83.964312,58,19.6506550402299,"pair27"
"1951","pair","b","27","g2",10,384.150396,93.293668,58,24.2857143898402,"pair27"
"2011","pair","a","28","g2",54,363.296517,71.342216,58,19.6374621450059,"pair28"
"2030","pair","b","28","g2",10,419.272716,58.171345,58,13.8743454510882,"pair28"
"2091","pair","a","29","g2",54,353.418364,68.049499,58,19.2546584817534,"pair29"
"2110","pair","b","29","g2",10,325.430264,72.439789,58,22.2596964737121,"pair29"
"2168","pair","a","30","g2",54,325.97905,69.147071,58,21.2121211470492,"pair30"
"2187","pair","b","30","g2",10,379.023722,54.146246,58,14.2857142857143,"pair30"
"2248","pair","a","31","g1",54,359.80294,88.903376,58,24.7089076037011,"pair31"
"2267","pair","b","31","g1",10,387.443111,91.098522,58,23.512747914106,"pair31"
"2328","pair","a","32","g1",54,329.271768,66.951926,58,20.3333332847413,"pair32"
"2347","pair","b","32","g1",10,408.29699,82.317942,58,20.1612904371399,"pair32"
"2408","pair","a","33","g1",54,481.834354,81.220369,58,16.8564919304197,"pair33"
"2427","pair","b","33","g1",10,491.712507,93.293668,58,18.9732143624323,"pair33"
"2488","pair","a","34","g1",54,478.541636,136.098997,58,28.4403668900401,"pair34"
"2507","pair","b","34","g1",10,398.418838,85.610659,58,21.4876032041437,"pair34"
"2568","pair","a","35","g1",54,364.39409,65.854354,58,18.0722892624301,"pair35"
"2587","pair","b","35","g1",10,425.858149,61.464063,58,14.4329897512423,"pair35"
"2648","pair","a","36","g1",54,485.127071,97.683958,58,20.1357466608991,"pair36"
"2667","pair","b","36","g1",10,477.444059,93.293667,58,19.5402299476513,"pair36"
"2728","pair","a","37","g2",54,556.469288,118.537836,58,21.3017750586084,"pair37"
"2746","pair","b","37","g2",10,513.663956,102.074248,58,19.8717949366881,"pair37"
"2806","pair","a","38","g2",54,476.346491,92.196095,58,19.3548387029054,"pair38"
"2825","pair","b","38","g2",10,439.061866,95.488812,58,21.7483729274726,"pair38"
"2886","pair","a","39","g2",54,410.492138,72.439789,58,17.6470588091994,"pair39"
"2905","pair","b","39","g2",10,395.126121,55.9762,58,14.1666665464519,"pair39"
"2966","pair","a","40","g2",54,496.102797,80.122797,58,16.1504425059712,"pair40"
